title,venue,year,author,comment,url,code
A Federated Learning Benchmark on Tabular Data: Comparing Tree-Based Models and Neural Networks,arXiv,2405,"William Lindskog, Christian Prehofer","8 pages, 6 figures, 6 tables, FMEC 2023 (best paper)",https://arxiv.org/abs/2405.02074,
A Mutual Information Perspective on Federated Contrastive Learning,arXiv,2405,"Christos Louizos, Matthias Reisser, Denis Korzhenkov",Published as a conference paper at ICLR 2024,https://arxiv.org/abs/2405.02081,
A SER-based Device Selection Mechanism in Multi-bits Quantization Federated Learning,arXiv,2405,"Pengcheng Sun, Erwu Liu, Rui Wang",,https://arxiv.org/abs/2405.02320,
A Survey on Contribution Evaluation in Vertical Federated Learning,arXiv,2405,"Yue Cui, Chung-ju Huang, Yuzhu Zhang, Leye Wang, Lixin Fan, Xiaofang Zhou, Qiang Yang",,https://arxiv.org/abs/2405.02364,GitHub
Age Aware Scheduling for Differentially-Private Federated Learning,arXiv,2405,"Kuan-Yu Lin, Hsuan-Yin Lin, Yu-Pin Hsu, Yu-Chih Huang","""Paper accepted to the 2024 IEEE International Symposium on Information Theory (ISIT)""",https://arxiv.org/abs/2405.05962,
An Information Theoretic Perspective on Conformal Prediction,arXiv,2405,"Alvaro H. C. Correia, Fabio Valerio Massoli, Christos Louizos, Arash Behboodi",,https://arxiv.org/abs/2405.02140,
Boosting Communication Efficiency of Federated Learning's Secure Aggregation,arXiv,2405,"Niousha Nazemi, Omid Tavallaie, Shuaijun Chen, Albert Y. Zomaya, Ralph Holz","2 pages, 4 figures, The 54th Annual IEEE/IFIP International Conference on Dependable Systems and Networks",https://arxiv.org/abs/2405.01144,
Causal Influence in Federated Edge Inference,arXiv,2405,"Mert Kayaalp, Yunus Inan, Visa Koivunen, Ali H. Sayed",,https://arxiv.org/abs/2405.01260,
Communication-Efficient Federated Learning with Adaptive Compression under Dynamic Bandwidth,arXiv,2405,"Ying Zhuansun, Dandan Li, Xiaohong Huang, Caijun Sun",,https://arxiv.org/abs/2405.03248,
Communication-Efficient Training Workload Balancing for Decentralized Multi-Agent Learning,arXiv,2405,"Seyed Mahmoud Sajjadi Mohammadabadi, Lei Yang, Feng Yan, Junshan Zhang","This paper has been accepted for presentation at ICDCS (44th IEEE International Conference on Distributed Computing Systems). Keywords: decentralized multi-agent learning, federated learning, edge computing, heterogeneous agents, workload balancing, and communication-efficient training )",https://arxiv.org/abs/2405.00839,
Compressed Bayesian Federated Learning for Reliable Passive Radio Sensing in Industrial IoT,arXiv,2405,"Luca Barbieri, Stefano Savazzi, Monica Nicoli",accepted for presentation at IEEE Conference on Artificial Intelligence 2024,https://arxiv.org/abs/2405.05855,
Cooperation and Federation in Distributed Radar Point Cloud Processing,arXiv,2405,"S. Savazzi, V. Rampa, S. Kianoush, A. Minora, L. Costa",,https://arxiv.org/abs/2405.01995,
DarkFed: A Data-Free Backdoor Attack in Federated Learning,arXiv,2405,"Minghui Li, Wei Wan, Yuxuan Ning, Shengshan Hu, Lulu Xue, Leo Yu Zhang, Yichen Wang",This paper has been accepted by IJCAI 2024,https://arxiv.org/abs/2405.03299,
Delay and Overhead Efficient Transmission Scheduling for Federated Learning in UAV Swarms,arXiv,2405,"Duc N. M. Hoang, Vu Tuan Truong, Hung Duy Le, Long Bao Le",accepted to WCNC'24,https://arxiv.org/abs/2405.00681,
Detection of ransomware attacks using federated learning based on the CNN model,arXiv,2405,"Hong-Nhung Nguyen, Ha-Thanh Nguyen, Damien Lescos",,https://arxiv.org/abs/2405.00418,
Differentially Private Federated Learning without Noise Addition: When is it Possible?,arXiv,2405,"Jiang Zhang, Yahya H Ezzeldin, Ahmed Roushdy Elkordy, Konstantinos Psounis, Salman Avestimehr",,https://arxiv.org/abs/2405.04551,
Digital Evolution: Novo Nordisk's Shift to Ontology-Based Data Management,arXiv,2405,"Shawn Zheng Kai Tan, Shounak Baksi, Thomas Gad Bjerrgaard, Preethi Elangovan, Thrishna Kuttikattu Gopalakrishnan, Darko Hric, Joffrey Joumaa, Beidi Li, Kashif Rabbani, Santhosh Kannan Venkatesan, Joshua Daniel Valdez, Saritha Vettikunnel Kuriakose","14 pages, 2 figures",https://arxiv.org/abs/2405.05413,
Distributed Learning for Wi-Fi AP Load Prediction,arXiv,2405,"Dariush Salami, Francesc Wilhelmi, Lorenzo Galati-Giordano, Mika Kasslin",,https://arxiv.org/abs/2405.05140,
Employing Federated Learning for Training Autonomous HVAC Systems,arXiv,2405,"Fredrik Hagström, Vikas Garg, Fabricio Oliveira",,https://arxiv.org/abs/2405.00389,
Enabling Privacy-Preserving and Publicly Auditable Federated Learning,arXiv,2405,"Huang Zeng, Anjia Yang, Jian Weng, Min-Rong Chen, Fengjun Xiao, Yi Liu, Ye Yao",ICC 2024 - 2024 IEEE International Conference on Communications Conference Program,https://arxiv.org/abs/2405.04029,
Enhancing Mutual Trustworthiness in Federated Learning for Data-Rich Smart Cities,arXiv,2405,"Osama Wehbi, Sarhad Arisdakessian, Mohsen Guizani, Omar Abdel Wahab, Azzam Mourad, Hadi Otrok, Hoda Al khzaimi, Bassem Ouni",,https://arxiv.org/abs/2405.00394,
Exploring the Efficacy of Federated-Continual Learning Nodes with Attention-Based Classifier for Robust Web Phishing Detection: An Empirical Investigation,arXiv,2405,"Jesher Joshua M, Adhithya R, Sree Dananjay S, M Revathi",,https://arxiv.org/abs/2405.03537,
FMLFS: A federated multi-label feature selection based on information theory in IoT environment,arXiv,2405,"Afsaneh Mahanipour, Hana Khamfroush",This paper has been accepted by IEEE SmartComp 2024,https://arxiv.org/abs/2405.00524,
